原片材质,原片序号,产品id,产品x坐标,产品y坐标,产品x方向长度,产品y方向长度
FMB-0215S,0,4383,0,398,0,981
FMB-0215S,0,4384,398,414,0,815
FMB-0215S,0,4385,812,297,0,2051
FMB-0215S,0,4386,0,479.5,981,379
FMB-0215S,0,4387,1109,84,0,598
FMB-0215S,0,4388,0,723,1360,301.5
FMB-0215S,0,4389,479.5,155,815,508
FMB-0215S,0,4390,0,422,1661.5,359
FMB-0215S,0,4391,0,590,2020.5,289
FMB-0215S,0,4392,0,1598,2020.5,58
FMB-0215S,0,4393,1109,58,598,548
FMB-0215S,0,4394,1109,926,598,479.5
FMB-0215S,0,4395,422,284.5,1661.5,277
FMB-0215S,1,4396,0,309,0,692
FMB-0215S,1,4397,309,770,0,558
FMB-0215S,1,4398,309,363,558,754
FMB-0215S,1,4399,672,178,558,299
FMB-0215S,1,4400,672,448.5,857,878
FMB-0215S,1,4401,672,580,857,1553
FMB-0215S,1,4402,850,369,558,38
FMB-0215S,1,4403,1079,58,0,369
FMB-0215S,1,4404,0,504,1312,584
FMB-0215S,1,4405,0,377,1312,876
FMB-0215S,2,4406,0,2318,0,58
FMB-0215S,2,4407,0,711.5,58,52.5
FMB-0215S,2,4408,711.5,281,58,214
FMB-0215S,2,4409,0,1040,272,368
FMB-0215S,2,4410,0,462,640,379
FMB-0215S,2,4411,462,629,640,306
FMB-0215S,2,4412,462,608,946,560
FMB-0215S,2,4413,0,317.5,1019,425
FMB-0215S,2,4414,0,327,1444,802
FMB-0215S,2,4415,0,238,110.5,118
FMB-0215S,3,4417,0,432,0,445
FMB-0215S,3,4418,0,861,445,300
FMB-0215S,3,4419,861,58,0,928
FMB-0215S,3,4420,861,2322,0,1050
FMB-0215S,4,4421,0,715,0,429
FMB-0215S,4,4422,715,112,0,98
FMB-0215S,4,4424,827,377,0,495
FMB-0215S,4,4425,0,965.5,495,433
FMB-0215S,4,4426,965.5,38,495,1510
FMB-0215S,4,4427,0,488,928,78
FMB-0215S,4,4428,488,238,928,78
FMB-0215S,4,4429,0,744,1006,214
FMB-0215S,4,4430,0,498,1220,791
FMB-0215S,4,4431,0,931,2011,58
FMB-0215S,4,4432,0,348,2011,1898
FMB-0215S,4,4433,0,908,2011,58
FMB-0215S,4,4434,348,695,2069,204
FMB-0215S,4,4435,498,348,1220,562
FMB-0215S,4,4436,498,370,1782,121.5
FMB-0215S,5,4437,0,378,0,630
FMB-0215S,5,4438,378,330,0,2163
FMB-0215S,5,4439,708,348,0,78
FMB-0215S,5,4440,708,472,78,394
FMB-0215S,5,4441,708,373,472,408
FMB-0215S,5,4442,0,294.5,630,816
FMB-0215S,5,4443,1180,38,0,1538
FMB-0215S,5,4444,1180,2286,0,422
FMB-0215S,5,4445,0,871,2163,58
FMB-0215S,5,4446,1081,48,472,361
FMB-0215S,5,4447,708,388,880,397
FMB-0215S,6,4448,0,382,0,579
FMB-0215S,6,4449,382,52.5,0,426.5
FMB-0215S,6,4450,434.5,38,0,616
FMB-0215S,6,4451,472.5,598,0,702
FMB-0215S,6,4452,0,978,702,380
FMB-0215S,6,4453,1070.5,78,0,488
